 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 Acrylic scourer               , Intercept           , Intercept                                                        ,-0.266,0.226,0.24,-1.17
 Bottle cleaner with handle    , Intercept           , Intercept                                                        ,-0.965,0.29,0.001,-3.32
 Disposable Sheet              , Intercept           , Intercept                                                        ,-0.045,0.267,0.866,-0.17
 Handled Dishwand              , Intercept           , Intercept                                                        ,-0.305,0.247,0.216,-1.24
 Large sheet/wipe              , Intercept           , Intercept                                                        ,-0.388,0.254,0.127,-1.52
 Metal Ball Scourer            , Intercept           , Intercept                                                        ,-0.408,0.751,0.587,-0.54
 Net Sponge                    , Intercept           , Intercept                                                        ,0.116,0.254,0.648,0.46
 Net/Mesh cloth                , Intercept           , Intercept                                                        ,-0.073,0.275,0.79,-0.27
 Scrub Pad                     , Intercept           , Intercept                                                        ,-0.397,0.254,0.118,-1.56
 Scrub Sponge                  , Intercept           , Intercept                                                        ,0.259,0.208,0.212,1.25
 Sponge                        , Intercept           , Intercept                                                        ,0.118,0.268,0.658,0.44
 3-layers/2-sided scrub sponge , Brand               , Byulpyo                                                          ,0,0,1,0
 3-layers/2-sided scrub sponge , Brand               , Cleanwrap                                                        ,-0.07,0.088,0.423,-0.8
 3-layers/2-sided scrub sponge , Brand               , Daiso                                                            ,-0.078,0.077,0.314,-1.01
 3-layers/2-sided scrub sponge , Brand               , Frog                                                             ,-0.185,0.083,0.025,-2.24
 3-layers/2-sided scrub sponge , Brand               , No Brand                                                         ,-0.195,0.084,0.021,-2.32
 3-layers/2-sided scrub sponge , Brand               , Scotch-Brite by 3M                                               ,0.143,0.084,0.088,1.71
 3-layers/2-sided scrub sponge , Brand               , Scott (Yuhan-Kimberly                                            ,-0.123,0.08,0.125,-1.54
 3-layers/2-sided scrub sponge , Brand               , Spontex                                                          ,0,0,1,0
 3-layers/2-sided scrub sponge , Cleaning strength   , Extra tough/ extra heavy duty                                    ,0.037,0.054,0.486,0.7
 3-layers/2-sided scrub sponge , Cleaning strength   , Gentle/ delicate cleaning                                        ,0,0,1,0
 3-layers/2-sided scrub sponge , Cleaning strength   , Tough Cleaning/ Heavy duty                                       ,0,0,1,0
 3-layers/2-sided scrub sponge , Surface types       , Cast Iron (Cookware/Grills/etc                                   ,-0.197,0.085,0.021,-2.31
 3-layers/2-sided scrub sponge , Surface types       , Everyday dishware & utensils                                     ,0.085,0.084,0.311,1.01
 3-layers/2-sided scrub sponge , Surface types       , Glass (Cooktop                                                   ,0,0,1,0
 3-layers/2-sided scrub sponge , Surface types       ," Non-Stick/Ceramic (Cookware, Dishware, etc                       ",0,0,1,0
 3-layers/2-sided scrub sponge , Surface types       ," Plastic (Dishware, Utensils, etc                                 ",0.089,0.084,0.289,1.06
 3-layers/2-sided scrub sponge , Surface types       ," Porcelain (Dishware, premium crockery, sink, etc                 ",-0.142,0.077,0.064,-1.85
 3-layers/2-sided scrub sponge , Surface types       , Stainless Steel (Cooktop                                         ,-0.152,0.079,0.054,-1.93
 3-layers/2-sided scrub sponge , Surface types       , Stainless Steel (Outdoor camping/BBQ                             ,-0.139,0.089,0.118,-1.56
 3-layers/2-sided scrub sponge , Surface types       , Stainless Steel (Sink /Cookware                                  ,0,0,1,0
 3-layers/2-sided scrub sponge , Surface types       , Suitable for use across most surface types                       ,-0.065,0.082,0.43,-0.79
 3-layers/2-sided scrub sponge , Stain types         , Effective at removing different stuck on and oily stains         ,0.107,0.087,0.217,1.23
 3-layers/2-sided scrub sponge , Stain types         , Good at removing heavy oil stains                                ,-0.031,0.074,0.67,-0.43
 3-layers/2-sided scrub sponge , Stain types         , Good at removing light (non-oily                                 ,0.068,0.077,0.377,0.88
 3-layers/2-sided scrub sponge , Stain types         , Good at removing light oil stains                                ,0,0,1,0
 3-layers/2-sided scrub sponge , Stain types         , Good at removing sticky stains                                   ,0,0,1,0
 3-layers/2-sided scrub sponge , Stain types         , Good at removing stubborn burnt stains                           ,0.047,0.065,0.474,0.72
 3-layers/2-sided scrub sponge , Stain types         , Good at removing tea/coffee stains                               ,-0.033,0.072,0.643,-0.46
 3-layers/2-sided scrub sponge , Benefit             , Antibacterial/Prevent bacterial growth                           ,0.118,0.104,0.257,1.13
 3-layers/2-sided scrub sponge , Benefit             , Antimicrobial/Prevent mold & odor                                ,-0.029,0.077,0.705,-0.38
 3-layers/2-sided scrub sponge , Benefit             , Durable/long lasting                                             ,0.125,0.104,0.23,1.2
 3-layers/2-sided scrub sponge , Benefit             , Easy to grip                                                     ,-0.076,0.074,0.31,-1.01
 3-layers/2-sided scrub sponge , Benefit             , Easy to reach and clean tight corners and grooves                ,-0.168,0.094,0.075,-1.78
 3-layers/2-sided scrub sponge , Benefit             , Easy to rinse clean after use (food doesn't get stuck            ,0,0,1,0
 3-layers/2-sided scrub sponge , Benefit             , Foam well with a small amount of detergent                       ,0,0,1,0
 3-layers/2-sided scrub sponge , Benefit             , Stain resistant                                                  ,0.136,0.103,0.186,1.32
